LAUS,State_FIPS,County_FIPS,County_Name_State,Year,,Labor_Force,Employed,Unemployed,Unemployment_Rate
CN0401100000000,04,011,"Greenlee County, AZ",2016,,"3,882     ","3,588     ",294     ,7.6     
CN0401200000000,04,012,"La Paz County, AZ",2016,,"8,430     ","7,922     ",508     ,6.0     
CN0401300000000,04,013,"Maricopa County, AZ",2016,,"2,071,011     ","1,976,440     ","94,571     ",4.6     
CN0401500000000,04,015,"Mohave County, AZ",2016,,"80,139     ","74,844     ","5,295     ",6.6     
CN0401700000000,04,017,"Navajo County, AZ",2016,,"41,136     ","37,744     ","3,392     ",8.2     
CN0401900000000,04,019,"Pima County, AZ",2016,,"467,481     ","444,339     ","23,142     ",5.0     
CN0402100000000,04,021,"Pinal County, AZ",2016,,"163,194     ","154,165     ","9,029     ",5.5     
CN0402300000000,04,023,"Santa Cruz County, AZ",2016,,"19,101     ","17,187     ","1,914     ",10.0     
CN0402500000000,04,025,"Yavapai County, AZ",2016,,"99,073     ","94,201     ","4,872     ",4.9     
CN0402700000000,04,027,"Yuma County, AZ",2016,,"93,621     ","76,016     ","17,605     ",18.8     
CN0500100000000,05,001,"Arkansas County, AR",2016,,"9,284     ","8,970     ",314     ,3.4     
CN0500300000000,05,003,"Ashley County, AR",2016,,"7,748     ","7,264     ",484     ,6.2     
CN0500500000000,05,005,"Baxter County, AR",2016,,"16,127     ","15,440     ",687     ,4.3     
CN0500700000000,05,007,"Benton County, AR",2016,,"128,180     ","124,469     ","3,711     ",2.9     
CN0500900000000,05,009,"Boone County, AR",2016,,"15,961     ","15,378     ",583     ,3.7     
CN0501100000000,05,011,"Bradley County, AR",2016,,"4,300     ","4,075     ",225     ,5.2     
CN0501300000000,05,013,"Calhoun County, AR",2016,,"2,381     ","2,272     ",109     ,4.6     
CN0501500000000,05,015,"Carroll County, AR",2016,,"12,894     ","12,439     ",455     ,3.5     
CN0501700000000,05,017,"Chicot County, AR",2016,,"3,588     ","3,353     ",235     ,6.5     
CN0501900000000,05,019,"Clark County, AR",2016,,"9,402     ","8,989     ",413     ,4.4     
CN0502100000000,05,021,"Clay County, AR",2016,,"6,048     ","5,709     ",339     ,5.6     
CN0502300000000,05,023,"Cleburne County, AR",2016,,"9,491     ","8,931     ",560     ,5.9     
CN0502500000000,05,025,"Cleveland County, AR",2016,,"3,349     ","3,199     ",150     ,4.5     
CN0502700000000,05,027,"Columbia County, AR",2016,,"9,283     ","8,756     ",527     ,5.7     
CN0502900000000,05,029,"Conway County, AR",2016,,"8,460     ","7,979     ",481     ,5.7     
CN0503100000000,05,031,"Craighead County, AR",2016,,"52,330     ","50,644     ","1,686     ",3.2     
CN0503300000000,05,033,"Crawford County, AR",2016,,"27,001     ","25,956     ","1,045     ",3.9     
CN0503500000000,05,035,"Crittenden County, AR",2016,,"21,649     ","20,676     ",973     ,4.5     
CN0503700000000,05,037,"Cross County, AR",2016,,"7,896     ","7,549     ",347     ,4.4     
CN0503900000000,05,039,"Dallas County, AR",2016,,"2,889     ","2,745     ",144     ,5.0     
CN0504100000000,05,041,"Desha County, AR",2016,,"5,450     ","5,155     ",295     ,5.4     
CN0504300000000,05,043,"Drew County, AR",2016,,"7,824     ","7,373     ",451     ,5.8     
CN0504500000000,05,045,"Faulkner County, AR",2016,,"60,671     ","58,380     ","2,291     ",3.8     
CN0504700000000,05,047,"Franklin County, AR",2016,,"7,376     ","7,081     ",295     ,4.0     
CN0504900000000,05,049,"Fulton County, AR",2016,,"4,674     ","4,473     ",201     ,4.3     
CN0505100000000,05,051,"Garland County, AR",2016,,"40,159     ","38,443     ","1,716     ",4.3     
CN0505300000000,05,053,"Grant County, AR",2016,,"8,290     ","7,993     ",297     ,3.6     
CN0505500000000,05,055,"Greene County, AR",2016,,"19,838     ","18,993     ",845     ,4.3     
CN0505700000000,05,057,"Hempstead County, AR",2016,,"9,948     ","9,574     ",374     ,3.8     
CN0505900000000,05,059,"Hot Spring County, AR",2016,,"14,096     ","13,544     ",552     ,3.9     
CN0506100000000,05,061,"Howard County, AR",2016,,"5,961     ","5,767     ",194     ,3.3     
CN0506300000000,05,063,"Independence County, AR",2016,,"16,036     ","15,247     ",789     ,4.9     
CN0506500000000,05,065,"Izard County, AR",2016,,"4,973     ","4,696     ",277     ,5.6     
CN0506700000000,05,067,"Jackson County, AR",2016,,"6,068     ","5,692     ",376     ,6.2     
CN0506900000000,05,069,"Jefferson County, AR",2016,,"28,373     ","26,794     ","1,579     ",5.6     
CN0507100000000,05,071,"Johnson County, AR",2016,,"10,547     ","10,049     ",498     ,4.7     
CN0507300000000,05,073,"Lafayette County, AR",2016,,"2,552     ","2,402     ",150     ,5.9     
CN0507500000000,05,075,"Lawrence County, AR",2016,,"6,929     ","6,632     ",297     ,4.3     
CN0507700000000,05,077,"Lee County, AR",2016,,"3,097     ","2,952     ",145     ,4.7     
CN0507900000000,05,079,"Lincoln County, AR",2016,,"4,102     ","3,906     ",196     ,4.8     
CN0508100000000,05,081,"Little River County, AR",2016,,"5,603     ","5,343     ",260     ,4.6     
CN0508300000000,05,083,"Logan County, AR",2016,,"9,138     ","8,721     ",417     ,4.6     
CN0508500000000,05,085,"Lonoke County, AR",2016,,"33,453     ","32,346     ","1,107     ",3.3     
CN0508700000000,05,087,"Madison County, AR",2016,,"7,299     ","7,067     ",232     ,3.2     
CN0508900000000,05,089,"Marion County, AR",2016,,"6,533     ","6,274     ",259     ,4.0     
CN0509100000000,05,091,"Miller County, AR",2016,,"19,906     ","19,077     ",829     ,4.2     
CN0509300000000,05,093,"Mississippi County, AR",2016,,"18,098     ","16,879     ","1,219     ",6.7     
CN0509500000000,05,095,"Monroe County, AR",2016,,"2,885     ","2,747     ",138     ,4.8     
CN0509700000000,05,097,"Montgomery County, AR",2016,,"3,105     ","2,945     ",160     ,5.2     
CN0509900000000,05,099,"Nevada County, AR",2016,,"3,623     ","3,489     ",134     ,3.7     
CN0510100000000,05,101,"Newton County, AR",2016,,"3,418     ","3,286     ",132     ,3.9     
CN0510300000000,05,103,"Ouachita County, AR",2016,,"9,834     ","9,339     ",495     ,5.0     
CN0510500000000,05,105,"Perry County, AR",2016,,"4,174     ","3,976     ",198     ,4.7     
CN0510700000000,05,107,"Phillips County, AR",2016,,"6,667     ","6,277     ",390     ,5.8     
CN0510900000000,05,109,"Pike County, AR",2016,,"4,177     ","3,999     ",178     ,4.3     
CN0511100000000,05,111,"Poinsett County, AR",2016,,"10,112     ","9,681     ",431     ,4.3     
CN0511300000000,05,113,"Polk County, AR",2016,,"8,165     ","7,768     ",397     ,4.9     
CN0511500000000,05,115,"Pope County, AR",2016,,"29,272     ","27,932     ","1,340     ",4.6     
CN0511700000000,05,117,"Prairie County, AR",2016,,"3,657     ","3,518     ",139     ,3.8     
CN0511900000000,05,119,"Pulaski County, AR",2016,,"187,474     ","180,862     ","6,612     ",3.5     
CN0512100000000,05,121,"Randolph County, AR",2016,,"6,533     ","6,234     ",299     ,4.6     
CN0512300000000,05,123,"St. Francis County, AR",2016,,"8,846     ","8,389     ",457     ,5.2     
CN0512500000000,05,125,"Saline County, AR",2016,,"56,969     ","55,203     ","1,766     ",3.1     
CN0512700000000,05,127,"Scott County, AR",2016,,"4,429     ","4,265     ",164     ,3.7     
CN0512900000000,05,129,"Searcy County, AR",2016,,"2,995     ","2,859     ",136     ,4.5     
CN0513100000000,05,131,"Sebastian County, AR",2016,,"57,711     ","55,576     ","2,135     ",3.7     
CN0513300000000,05,133,"Sevier County, AR",2016,,"5,638     ","5,363     ",275     ,4.9     
CN0513500000000,05,135,"Sharp County, AR",2016,,"6,061     ","5,734     ",327     ,5.4     
CN0513700000000,05,137,"Stone County, AR",2016,,"4,750     ","4,507     ",243     ,5.1     
CN0513900000000,05,139,"Union County, AR",2016,,"16,342     ","15,453     ",889     ,5.4     
CN0514100000000,05,141,"Van Buren County, AR",2016,,"6,112     ","5,694     ",418     ,6.8     
CN0514300000000,05,143,"Washington County, AR",2016,,"118,617     ","115,373     ","3,244     ",2.7     
CN0514500000000,05,145,"White County, AR",2016,,"34,087     ","32,325     ","1,762     ",5.2     
CN0514700000000,05,147,"Woodruff County, AR",2016,,"2,974     ","2,812     ",162     ,5.4     
CN0514900000000,05,149,"Yell County, AR",2016,,"8,684     ","8,298     ",386     ,4.4     
CN0600100000000,06,001,"Alameda County, CA",2016,,"837,583     ","801,774     ","35,809     ",4.3     
CN0600300000000,06,003,"Alpine County, CA",2016,,557     ,521     ,36     ,6.5     
CN0600500000000,06,005,"Amador County, CA",2016,,"14,574     ","13,706     ",868     ,6.0     
CN0600700000000,06,007,"Butte County, CA",2016,,"101,987     ","95,246     ","6,741     ",6.6     
CN0600900000000,06,009,"Calaveras County, CA",2016,,"20,868     ","19,684     ","1,184     ",5.7     
CN0601100000000,06,011,"Colusa County, CA",2016,,"10,943     ","9,238     ","1,705     ",15.6     
CN0601300000000,06,013,"Contra Costa County, CA",2016,,"557,042     ","532,200     ","24,842     ",4.5     
CN0601500000000,06,015,"Del Norte County, CA",2016,,"9,788     ","9,051     ",737     ,7.5     
CN0601700000000,06,017,"El Dorado County, CA",2016,,"89,088     ","84,512     ","4,576     ",5.1     
CN0601900000000,06,019,"Fresno County, CA",2016,,"446,128     ","403,719     ","42,409     ",9.5     
CN0602100000000,06,021,"Glenn County, CA",2016,,"12,992     ","11,909     ","1,083     ",8.3     
CN0602300000000,06,023,"Humboldt County, CA",2016,,"62,635     ","59,548     ","3,087     ",4.9     
CN0602500000000,06,025,"Imperial County, CA",2016,,"76,993     ","58,789     ","18,204     ",23.6     
CN0602700000000,06,027,"Inyo County, CA",2016,,"8,889     ","8,419     ",470     ,5.3     
CN0602900000000,06,029,"Kern County, CA",2016,,"388,445     ","347,996     ","40,449     ",10.4     
CN0603100000000,06,031,"Kings County, CA",2016,,"57,348     ","51,628     ","5,720     ",10.0     
CN0603300000000,06,033,"Lake County, CA",2016,,"29,165     ","27,205     ","1,960     ",6.7     
CN0603500000000,06,035,"Lassen County, CA",2016,,"10,397     ","9,676     ",721     ,6.9     
CN0603700000000,06,037,"Los Angeles County, CA",2016,,"5,054,938     ","4,789,505     ","265,433     ",5.3     
CN0603900000000,06,039,"Madera County, CA",2016,,"61,311     ","55,648     ","5,663     ",9.2     
CN0604100000000,06,041,"Marin County, CA",2016,,"140,306     ","135,710     ","4,596     ",3.3     
CN0604300000000,06,043,"Mariposa County, CA",2016,,"7,594     ","7,073     ",521     ,6.9     
CN0604500000000,06,045,"Mendocino County, CA",2016,,"39,752     ","37,655     ","2,097     ",5.3     
CN0604700000000,06,047,"Merced County, CA",2016,,"114,612     ","102,474     ","12,138     ",10.6     
CN0604900000000,06,049,"Modoc County, CA",2016,,"3,303     ","3,045     ",258     ,7.8     
CN0605100000000,06,051,"Mono County, CA",2016,,"8,394     ","7,944     ",450     ,5.4     
CN0605300000000,06,053,"Monterey County, CA",2016,,"219,506     ","202,695     ","16,811     ",7.7     
CN0605500000000,06,055,"Napa County, CA",2016,,"73,190     ","70,047     ","3,143     ",4.3     
CN0605700000000,06,057,"Nevada County, CA",2016,,"48,312     ","46,001     ","2,311     ",4.8     
CN0605900000000,06,059,"Orange County, CA",2016,,"1,602,461     ","1,537,686     ","64,775     ",4.0     
CN0606100000000,06,061,"Placer County, CA",2016,,"180,212     ","172,126     ","8,086     ",4.5     
CN0606300000000,06,063,"Plumas County, CA",2016,,"7,876     ","7,110     ",766     ,9.7     
CN0606500000000,06,065,"Riverside County, CA",2016,,"1,052,648     ","988,171     ","64,477     ",6.1     
CN0606700000000,06,067,"Sacramento County, CA",2016,,"695,243     ","657,592     ","37,651     ",5.4     
CN0606900000000,06,069,"San Benito County, CA",2016,,"29,835     ","27,798     ","2,037     ",6.8     
CN0607100000000,06,071,"San Bernardino County, CA",2016,,"932,257     ","878,388     ","53,869     ",5.8     
CN0607300000000,06,073,"San Diego County, CA",2016,,"1,570,270     ","1,496,156     ","74,114     ",4.7     
CN0607500000000,06,075,"San Francisco County/city, CA",2016,,"560,067     ","541,709     ","18,358     ",3.3     
CN0607700000000,06,077,"San Joaquin County, CA",2016,,"319,513     ","293,543     ","25,970     ",8.1     
CN0607900000000,06,079,"San Luis Obispo County, CA",2016,,"140,300     ","134,257     ","6,043     ",4.3     
CN0608100000000,06,081,"San Mateo County, CA",2016,,"445,445     ","431,923     ","13,522     ",3.0     
CN0608300000000,06,083,"Santa Barbara County, CA",2016,,"216,113     ","205,177     ","10,936     ",5.1     
CN0608500000000,06,085,"Santa Clara County, CA",2016,,"1,023,975     ","985,073     ","38,902     ",3.8     
CN0608700000000,06,087,"Santa Cruz County, CA",2016,,"143,995     ","133,952     ","10,043     ",7.0     
CN0608900000000,06,089,"Shasta County, CA",2016,,"74,457     ","69,265     ","5,192     ",7.0     
CN0609100000000,06,091,"Sierra County, CA",2016,,"1,338     ","1,236     ",102     ,7.6     
CN0609300000000,06,093,"Siskiyou County, CA",2016,,"17,955     ","16,428     ","1,527     ",8.5     
CN0609500000000,06,095,"Solano County, CA",2016,,"207,909     ","196,460     ","11,449     ",5.5     
CN0609700000000,06,097,"Sonoma County, CA",2016,,"260,108     ","249,760     ","10,348     ",4.0     
CN0609900000000,06,099,"Stanislaus County, CA",2016,,"243,542     ","222,557     ","20,985     ",8.6     
CN0610100000000,06,101,"Sutter County, CA",2016,,"44,571     ","40,196     ","4,375     ",9.8     
CN0610300000000,06,103,"Tehama County, CA",2016,,"25,155     ","23,363     ","1,792     ",7.1     
CN0610500000000,06,105,"Trinity County, CA",2016,,"5,010     ","4,655     ",355     ,7.1     
CN0610700000000,06,107,"Tulare County, CA",2016,,"203,955     ","181,145     ","22,810     ",11.2     
CN0610900000000,06,109,"Tuolumne County, CA",2016,,"21,640     ","20,293     ","1,347     ",6.2     
CN0611100000000,06,111,"Ventura County, CA",2016,,"426,660     ","404,382     ","22,278     ",5.2     
CN0611300000000,06,113,"Yolo County, CA",2016,,"106,367     ","100,096     ","6,271     ",5.9     
CN0611500000000,06,115,"Yuba County, CA",2016,,"28,148     ","25,715     ","2,433     ",8.6     
CN0800100000000,08,001,"Adams County, CO",2016,,"253,559     ","244,503     ","9,056     ",3.6     
CN0800300000000,08,003,"Alamosa County, CO",2016,,"7,967     ","7,645     ",322     ,4.0     
CN0800500000000,08,005,"Arapahoe County, CO",2016,,"340,486     ","329,992     ","10,494     ",3.1     
CN0800700000000,08,007,"Archuleta County, CO",2016,,"6,363     ","6,156     ",207     ,3.3     
CN0800900000000,08,009,"Baca County, CO",2016,,"2,091     ","2,056     ",35     ,1.7     
CN0801100000000,08,011,"Bent County, CO",2016,,"1,850     ","1,794     ",56     ,3.0     
CN0801300000000,08,013,"Boulder County, CO",2016,,"180,799     ","175,997     ","4,802     ",2.7     
CN0801400000000,08,014,"Broomfield County/city, CO",2016,,"36,767     ","35,709     ","1,058     ",2.9     
CN0801500000000,08,015,"Chaffee County, CO",2016,,"8,839     ","8,606     ",233     ,2.6     
CN0801700000000,08,017,"Cheyenne County, CO",2016,,"1,081     ","1,057     ",24     ,2.2     
CN0801900000000,08,019,"Clear Creek County, CO",2016,,"5,684     ","5,504     ",180     ,3.2     
CN0802100000000,08,021,"Conejos County, CO",2016,,"3,771     ","3,588     ",183     ,4.9     
CN0802300000000,08,023,"Costilla County, CO",2016,,"1,728     ","1,645     ",83     ,4.8     
CN0802500000000,08,025,"Crowley County, CO",2016,,"1,422     ","1,372     ",50     ,3.5     
CN0802700000000,08,027,"Custer County, CO",2016,,"2,018     ","1,955     ",63     ,3.1     
CN0802900000000,08,029,"Delta County, CO",2016,,"13,956     ","13,272     ",684     ,4.9     
CN0803100000000,08,031,"Denver County/city, CO",2016,,"384,939     ","373,035     ","11,904     ",3.1     
CN0803300000000,08,033,"Dolores County, CO",2016,,"1,072     ","1,030     ",42     ,3.9     
CN0803500000000,08,035,"Douglas County, CO",2016,,"177,471     ","172,760     ","4,711     ",2.7     
CN0803700000000,08,037,"Eagle County, CO",2016,,"33,715     ","32,793     ",922     ,2.7     
CN0803900000000,08,039,"Elbert County, CO",2016,,"13,794     ","13,438     ",356     ,2.6     
CN0804100000000,08,041,"El Paso County, CO",2016,,"314,615     ","302,857     ","11,758     ",3.7     
CN0804300000000,08,043,"Fremont County, CO",2016,,"14,704     ","13,946     ",758     ,5.2     
CN0804500000000,08,045,"Garfield County, CO",2016,,"30,987     ","29,909     ","1,078     ",3.5     
CN0804700000000,08,047,"Gilpin County, CO",2016,,"3,483     ","3,400     ",83     ,2.4     
CN0804900000000,08,049,"Grand County, CO",2016,,"9,186     ","8,940     ",246     ,2.7     
CN0805100000000,08,051,"Gunnison County, CO",2016,,"10,133     ","9,901     ",232     ,2.3     
CN0805300000000,08,053,"Hinsdale County, CO",2016,,447     ,436     ,11     ,2.5     
CN0805500000000,08,055,"Huerfano County, CO",2016,,"2,501     ","2,343     ",158     ,6.3     
CN0805700000000,08,057,"Jackson County, CO",2016,,891     ,867     ,24     ,2.7     
CN0805900000000,08,059,"Jefferson County, CO",2016,,"315,268     ","305,993     ","9,275     ",2.9     
CN0806100000000,08,061,"Kiowa County, CO",2016,,846     ,829     ,17     ,2.0     
CN0806300000000,08,063,"Kit Carson County, CO",2016,,"4,537     ","4,441     ",96     ,2.1     
CN0806500000000,08,065,"Lake County, CO",2016,,"4,615     ","4,484     ",131     ,2.8     
CN0806700000000,08,067,"La Plata County, CO",2016,,"30,979     ","30,093     ",886     ,2.9     
CN0806900000000,08,069,"Larimer County, CO",2016,,"187,311     ","182,079     ","5,232     ",2.8     
